Chemical	cJMP	Unit	Date	Well	Organism	Media	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-30	A1	163	EZ	0	0	1	0	0.092	sunrise
none	0		2022-03-30	A2	163	EZ	0	0	2	0	0.092	sunrise
none	0		2022-03-30	A3	5142	EZ	0	0	1	0	0.088	sunrise
none	0		2022-03-30	A4	5142	EZ	0	0	2	0	0.088	sunrise
none	0		2022-03-30	A5	269	EZ	0	0	1	0	0.087	sunrise
none	0		2022-03-30	A6	269	EZ	0	0	2	0	0.086	sunrise
none	0		2022-03-30	A7	5144	EZ	0	0	1	0	0.087	sunrise
none	0		2022-03-30	A8	5144	EZ	0	0	2	0	0.087	sunrise
none	0		2022-03-30	A9	241	EZ	0	0	1	0	0.088	sunrise
none	0		2022-03-30	A10	241	EZ	0	0	2	0	0.089	sunrise
none	0		2022-03-30	A11	5146	EZ	0	0	1	0	0.084	sunrise
none	0		2022-03-30	A12	5146	EZ	0	0	2	0	0.084	sunrise
none	0		2022-03-30	B1	163	EZ	0	0	3	0	0.092	sunrise
none	0		2022-03-30	B2	163	EZ	0	0	4	0	0.092	sunrise
none	0		2022-03-30	B3	5142	EZ	0	0	3	0	0.087	sunrise
none	0		2022-03-30	B4	5142	EZ	0	0	4	0	0.088	sunrise
none	0		2022-03-30	B5	269	EZ	0	0	3	0	0.086	sunrise
none	0		2022-03-30	B6	269	EZ	0	0	4	0	0.085	sunrise
none	0		2022-03-30	B7	5144	EZ	0	0	3	0	0.087	sunrise
none	0		2022-03-30	B8	5144	EZ	0	0	4	0	0.088	sunrise
none	0		2022-03-30	B9	241	EZ	0	0	3	0	0.089	sunrise
none	0		2022-03-30	B10	241	EZ	0	0	4	0	0.09	sunrise
none	0		2022-03-30	B11	5146	EZ	0	0	3	0	0.084	sunrise
none	0		2022-03-30	B12	5146	EZ	0	0	4	0	0.084	sunrise
none	0		2022-03-30	C1	163	EZ	0	0.01	1	0	0.092	sunrise
none	0		2022-03-30	C2	163	EZ	0	0.01	2	0	0.093	sunrise
none	0		2022-03-30	C3	5142	EZ	0	0.01	1	0	0.089	sunrise
none	0		2022-03-30	C4	5142	EZ	0	0.01	2	0	0.088	sunrise
none	0		2022-03-30	C5	269	EZ	0	0.01	1	0	0.087	sunrise
none	0		2022-03-30	C6	269	EZ	0	0.01	2	0	0.086	sunrise
none	0		2022-03-30	C7	5144	EZ	0	0.01	1	0	0.087	sunrise
none	0		2022-03-30	C8	5144	EZ	0	0.01	2	0	0.087	sunrise
none	0		2022-03-30	C9	241	EZ	0	0.01	1	0	0.09	sunrise
none	0		2022-03-30	C10	241	EZ	0	0.01	2	0	0.09	sunrise
none	0		2022-03-30	C11	5146	EZ	0	0.01	1	0	0.085	sunrise
none	0		2022-03-30	C12	5146	EZ	0	0.01	2	0	0.084	sunrise
none	0		2022-03-30	D1	163	EZ	0	0.01	3	0	0.092	sunrise
none	0		2022-03-30	D2	163	EZ	0	0.01	4	0	0.093	sunrise
none	0		2022-03-30	D3	5142	EZ	0	0.01	3	0	0.087	sunrise
none	0		2022-03-30	D4	5142	EZ	0	0.01	4	0	0.087	sunrise
none	0		2022-03-30	D5	269	EZ	0	0.01	3	0	0.086	sunrise
none	0		2022-03-30	D6	269	EZ	0	0.01	4	0	0.085	sunrise
none	0		2022-03-30	D7	5144	EZ	0	0.01	3	0	0.091	sunrise
none	0		2022-03-30	D8	5144	EZ	0	0.01	4	0	0.087	sunrise
none	0		2022-03-30	D9	241	EZ	0	0.01	3	0	0.089	sunrise
none	0		2022-03-30	D10	241	EZ	0	0.01	4	0	0.09	sunrise
none	0		2022-03-30	D11	5146	EZ	0	0.01	3	0	0.084	sunrise
