protein	gene
P00934	thrC
P00935	metB
P00936	cyaA
P00944	xylA
P00946	manA
P00963	asnA
P00968	carB
P02338	tpr
P02916	malF
P02918	mrcA
P02919	mrcB
P02920	lacY
P02921	melB
P02924	araF
P02925	rbsB
P02930	tolC
P02931	ompF
P02932	phoE
P02942	tsr
P02943	lamB
P03007	dnaQ
P03014	pinE
P03018	uvrD
P03023	lacI
P03024	galR
P03030	lysR
P03061	ivbL
P03813	ygeA
P03817	mioC
P03819	kefC
P03825	gspB
P03835	insG
P03841	malM
P03959	kdpA
P03960	kdpB
P03961	kdpC
P04128	fimA
P04152	umuC
P04335	frsA
P04391	argI
P04395	alkA
P04425	gshB
P04693	tyrB
P04816	livK
P04825	pepN
P04846	nlpA
P04949	fliC
P04968	ilvA
P04982	rbsD
P04983	rbsA
P04993	recD
P04994	xseA
P04995	sbcB
P05020	pyrC
P05041	pabB
P05042	fumC
P05050	alkB
P05052	appY
P05055	pnp
P05100	tag
P05194	aroD
P05458	ptrA
P05459	pdxB
P05523	mutM
P05637	apaH
P05704	trg
P05706	srlB
P05707	srlD
P05719	hsdS
P05791	ilvD
P05793	ilvC
P05804	uidA
P05824	recN
P05825	fepA
P05827	ilvY
P05847	ttdA
P06129	btuB
P06134	ada
P06149	dld
P06282	cdh
P06609	btuC
P06610	btuE
P06611	btuD
P06715	gor
P06720	melA
P06721	metC
P06722	mutH
P06846	ebgR
P06864	ebgA
P06960	argF
P06965	dicC
P06971	fhuA
P06972	fhuB
P06974	fliM
P06986	hisC
P06987	hisB
P06988	hisD
P06989	hisI
P06992	rsmA
P06993	malT
P06996	ompC
P06999	pfkB
P07000	pldB
P07001	pntA
P07003	poxB
P07004	proA
P07010	rem
P07014	sdhB
P07017	tar
P07018	tap
P07021	yfiB
P07023	tyrA
P07024	ushA
P07026	sdiA
P07102	appA
P07109	hisP
P07117	putP
P07330	cheB
P07363	cheA
P07364	cheR
P07464	lacA
P07604	tyrR
P07623	metAS
P07639	aroB
P07648	recC
P07649	truA
P07650	deoA
P07654	pstA
P07658	fdhF
P07762	glgB
P07821	fhuC
P07822	fhuD
P07862	ddlB
P07913	tdh
P08142	ilvB
P08178	purM
P08179	purN
P08189	fimF
P08190	fimG
P08191	fimH
P08194	glpT
P08200	icd
P08201	nirB
P08202	araA
P08203	araD
P08204	araB
P08244	pyrF
P08245	yciH
P08331	cpdB
P08337	mutT
P08339	b4223
P08365	chpS
P08368	creB
P08369	creD
P08370	ygdB
P08371	ppdB
P08372	ppdC
P08390	usg
P08394	recB
P08395	sppA
P08400	phoR
P08401	creC
P08506	dacC
P08550	cvpA
P08555	dsdX
P08622	dnaJ
P08660	lysC
P08722	bglF
P08956	hsdR
P08957	hsdM
P08997	aceB
P09029	purK
P09030	xthA
P09053	avtA
P09099	xylB
P09127	hemX
P09147	galE
P09148	galT
P09151	leuA
P09152	narG
P09153	tfaE
P09154	ymfS
P09155	rnd
P09158	speE
P09162	yjaA
P09163	yjaB
P09169	ompT
P09184	vsr
P09323	nagE
P09348	motA
P09373	pflB
P09377	rhaS
P09378	rhaR
P09391	glpG
P09394	glpQ
P09424	mtlD
P09546	putA
P09549	dedD
P09551	argT
P09557	dicB
P09831	gltB
P09832	gltD
P09833	modC
P09835	uhpB
P09836	uhpC
P09980	rep
P09996	yidB
P0A698	uvrA
P0A6A3	ackA
P0A6A6	leuC
P0A6B4	alr
P0A6C1	nfo
P0A6C5	argA
P0A6C8	argB
P0A6D0	argR
P0A6D3	aroA
P0A6D5	ydiB
P0A6D7	aroK
P0A6E1	aroL
P0A6E4	argG
P0A6E6	atpC
P0A6E9	bioD2
P0A6F1	carA
P0A6F3	glpK
P0A6G3	pncC
P0A6G5	citX
P0A6G7	clpP
P0A6H1	clpX
P0A6H5	hslU
P0A6H8	clsA
P0A6I0	cmk
P0A6J1	cysC
P0A6J3	cysZ
P0A6J5	dadA
P0A6J8	ddlA
P0A6K6	deoB
P0A6L0	deoC
P0A6L4	nanA
P0A6L7	uxaB
P0A6L9	hscB
P0A6M2	dsbB
P0A6M4	dtd
P0A6N4	efp
P0A6N8	yeiP
P0A6R3	fis
P0A6S0	flgH
P0A6S3	flgI
P0A6T1	pgi
P0A6T3	galK
P0A6T9	gcvH
P0A6U3	mnmG
P0A6U5	rsmG
P0A6U8	glgA
P0A6V1	glgC
P0A6V5	glpE
P0A6V8	glk
P0A6W0	glsA2
P0A6W5	greA
P0A6W9	gshA
P0A6X3	hfq
P0A6Y1	ihfB
P0A6Y5	hslO
P0A6Y8	dnaK
P0A6Z3	htpG
P0A6Z6	nikR
P0A700	hypA
P0A703	hybF
P0A710	yciB
P0A712	kdgT
P0A729	yceF
P0A731	mgsA
P0A734	minE
P0A738	moaC
P0A742	mscL
P0A744	msrA
P0A746	msrB
P0A754	kefF
P0A756	kefG
P0A759	nagB
P0A761	nanE
P0A763	ndk
P0A766	rsxA
P0A769	mntH
P0A772	nrdI
P0A776	rppH
P0A786	pyrB
P0A790	panD
P0A794	pdxJ
P0A796	pfkA
P0A7A2	gpmB
P0A7A5	pcm
P0A7B1	ppk
P0A7B5	proB
P0A7B8	hslV
P0A7C6	pepE
P0A7C8	psiE
P0A7D4	purA
P0A7D7	purC
P0A7E1	pyrD
P0A7E3	pyrE
P0A7F3	pyrI
P0A7F6	speD
P0A7F9	queA
P0A7G6	recA
P0A7H0	recF
P0A7H3	recO
P0A7H6	recR
P0A7I4	prfC
P0A7J0	ribB
P0A7M9	rpmE
P0A7N1	ykgM
P0A7N9	rpmG
P0A7Q6	rpmJ
P0A7R1	rplI
P0A7Y0	rnc
P0A7Y4	rnhA
P0A7Z0	rpiA
P0A800	rpoZ
P0A809	ruvA
P0A812	ruvB
P0A814	ruvC
P0A821	selA
P0A823	sfsA
P0A828	smg
P0A830	dctA
P0A832	smpB
P0A836	sucC
P0A840	surE
P0A843	tatE
P0A847	tgt
P0A850	tig
P0A853	tnaA
P0A855	tolB
P0A858	tpiA
P0A862	tpx
P0A867	talA
P0A870	talB
P0A877	trpA
P0A879	trpB
P0A881	trpR
P0A890	tusA
P0A894	rapZ
P0A8A0	yebC
P0A8A2	yeeN
P0A8A4	ppsR
P0A8A8	rimP
P0A8B2	yfcN
P0A8B5	ybaB
P0A8C1	ybjQ
P0A8C4	ygfB
P0A8C8	yidD
P0A8D0	nrdR
P0A8D3	yaiI
P0A8D6	ymdB
P0A8D9	yfbV
P0A8E1	ycfP
P0A8E5	yacL
P0A8E7	yajQ
P0A8F0	upp
P0A8F4	udk
P0A8F8	uvrB
P0A8G0	uvrC
P0A8G3	uxaC
P0A8G6	wrbA
P0A8G9	xseB
P0A8H3	zupT
P0A8H6	yihI
P0A8H8	yacG
P0A8I3	yaaA
P0A8I5	trmB
P0A8I8	rlmH
P0A8J4	ybeD
P0A8J8	rhlB
P0A8K5	yaeP
P0A8K8	yihY
P0A8L5	ycgN
P0A8L7	yciU
P0A8M6	yeeX
P0A8N0	matP
P0A8N5	lysU
P0A8N7	epmA
P0A8P1	aat
P0A8P3	yggX
P0A8P6	xerC
P0A8P8	xerD
P0A8Q0	frdC
P0A8Q3	frdD
P0A8Q6	clpS
P0A8R0	rraA
P0A8R4	slyX
P0A8R7	ycjF
P0A8R9	hdfR
P0A8S1	argP
P0A8S5	uspB
P0A8S9	flhD
P0A8T1	prmA
P0A8T5	fliE
P0A8U0	syd
P0A8U2	yafD
P0A8U6	metJ
P0A8V0	rbn
P0A8V6	fadR
P0A8W0	nanR
P0A8W2	slyA
P0A8W5	yqgE
P0A8W8	yfbU
P0A8X0	yjgA
P0A8X2	yceI
P0A8X4	yccT
P0A8Y1	yjjG
P0A8Y3	yihX
P0A8Y5	yidA
P0A8Y8	entH
P0A8Z0	yciA
P0A8Z3	ybgC
P0A8Z7	yqiA
P0A901	blc
P0A903	bamC
P0A905	slyB
P0A908	mipA
P0A910	ompA
P0A912	pal
P0A915	ompW
P0A917	ompX
P0A921	pldA
P0A924	pgpB
P0A927	tsx
P0A930	wza
P0A932	gfcE
P0A935	mltA
P0A937	bamE
P0A944	rimI
P0A948	rimJ
P0A951	speG
P0A955	eda
P0A959	alaA
P0A962	ansA
P0A964	cheW
P0A968	cspD
P0A972	cspE
P0A976	cspF
P0A978	cspG
P0A982	cspH
P0A986	cspI
P0A991	fbaB
P0A993	fbp
P0A996	glpC
P0A998	ftnA
P0A9A2	ftnB
P0A9A9	fur
P0A9B6	epd
P0A9C0	glpA
P0A9C3	galM
P0A9C5	glnA
P0A9C9	glpX
P0A9D2	gstA
P0A9D4	cysE
P0A9E0	araC
P0A9E2	soxS
P0A9E5	fnr
P0A9E9	yeiL
P0A9F1	mntR
P0A9F3	cysB
P0A9F6	gcvA
P0A9F9	metR
P0A9G2	nhaR
P0A9G4	cueR
P0A9G6	aceA
P0A9G8	modE
P0A9H1	mug
P0A9H3	cadA
P0A9H5	btuR
P0A9H7	cfa
P0A9H9	cheZ
P0A9I1	citE
P0A9I3	gcvR
P0A9I5	napD
P0A9I8	nirD
P0A9J0	rng
P0A9J4	panE
P0A9J6	rbsK
P0A9J8	pheA
P0A9K1	phoH
P0A9K3	ybeZ
P0A9K7	phoU
P0A9K9	slyD
P0A9L3	fklB
P0A9L5	ppiC
P0A9L8	proC
P0A9M0	lon
P0A9M2	hpt
P0A9M5	gpt
P0A9M8	pta
P0A9N0	ptsO
P0A9N4	pflA
P0A9N8	nrdG
P0A9P4	trxB
P0A9P6	deaD
P0A9P9	idnO
P0A9Q1	arcA
P0A9Q7	adhE
P0A9R2	essD
P0A9R7	ftsE
P0A9S1	fucO
P0A9S3	gatD
P0A9S5	gldA
P0A9S7	livG
P0A9T0	serA
P0A9T4	tas
P0A9T6	ybaQ
P0A9T8	ybbA
P0A9U1	ybhF
P0A9U3	ybiT
P0A9U6	puuR
P0A9U8	ydiO
P0A9V5	yiaG
P0A9V8	yihU
P0A9W0	ulaR
P0A9W3	ettA
P0A9W6	ibaG
P0A9W9	yrdA
P0A9X1	znuC
P0A9X9	cspA
P0A9Y6	cspC
P0A9Z1	glnB
P0AA04	ptsH
P0AA16	ompR
P0AA25	trxA
P0AA31	yedF
P0AA37	rluA
P0AA39	rluC
P0AA41	truC
P0AA43	rsuA
P0AA47	plaP
P0AA49	yfdV
P0AA53	qmcA
P0AA57	yobA
P0AA60	yghB
P0AA63	yqjA
P0AA67	rhtA
P0AA70	yedA
P0AA73	yhbE
P0AA76	dgoT
P0AA78	exuT
P0AA80	garP
P0AA82	codB
P0AA84	clsB
P0AA86	dsbE
P0AA89	dosC
P0AA91	yeaY
P0AA93	ypdA
P0AA95	yacC
P0AA97	yaeQ
P0AA99	yafK
P0AAA1	yagU
P0AAA3	ecpA
P0AAA5	ymcE
P0AAA7	wzxE
P0AAA9	zraP
P0AAB2	wzb
P0AAB6	galF
P0AAB8	uspD
P0AAC0	uspE
P0AAC4	ybhL
P0AAC6	yccA
P0AAC8	iscA
P0AAD2	mtr
P0AAD4	tyrP
P0AAD6	sdaC
P0AAD8	tdcC
P0AAE0	cycA
P0AAE2	proY
P0AAE5	ydgI
P0AAE8	cadB
P0AAF1	potE
P0AAF3	araG
P0AAF6	artP
P0AAG0	dppD
P0AAG3	gltL
P0AAG5	mdlB
P0AAG8	mglA
P0AAH0	pstB
P0AAH4	sapD
P0AAH8	sapF
P0AAI1	ssuB
P0AAI5	fabF
P0AAJ1	ynfG
P0AAJ3	fdnH
P0AAJ5	fdoH
P0AAJ8	hybA
P0AAK1	hycB
P0AAK4	hydN
P0AAK7	nrfC
P0AAL0	napF
P0AAL3	napG
P0AAL6	ydhY
P0AAL9	ykgJ
P0AAM1	hyaC
P0AAM3	hypC
P0AAM7	hybG
P0AAN1	hybE
P0AAN3	hypB
P0AAN5	yaiA
P0AAN9	iraP
P0AAP1	dgcC
P0AAP3	frmR
P0AAP5	iprA
P0AAP7	yaiY
P0AAQ0	yaiZ
P0AAQ2	yajD
P0AAQ6	ybaA
P0AAR0	tomB
P0AAR3	ybaK
P0AAR5	ybaN
P0AAR8	ybaV
P0AAS0	ylaC
P0AAS3	ybbJ
P0AAS5	ylbF
P0AAS7	ybcJ
P0AAS9	ybdD
P0AAT2	ybdF
P0AAT4	ybdG
P0AAT6	rsfS
P0AAT9	ybeL
P0AAU2	ybfA
P0AAU5	ybfB
P0AAU7	ybfE
P0AAV0	ybgE
P0AAV4	ybgJ
P0AAV6	ybgS
P0AAV8	ybhH
P0AAW1	ybhP
P0AAW5	ybhQ
P0AAW9	acrZ
P0AAX3	ybiJ
P0AAX6	mcbA
P0AAX8	ybiS
P0AAY1	bssR
P0AAY4	ybjH
P0AAY6	ybjN
P0AAZ0	ybjO
P0AAZ4	rarA
P0AB01	elyC
P0AB03	ycbJ
P0AB06	ycbK
P0AB10	ymbA
P0AB12	yccF
P0AB14	yccJ
P0AB20	hspQ
P0AB24	efeO
P0AB26	yceB
P0AB28	yceD
P0AB31	yceK
P0AB33	bssS
P0AB35	ycfJ
P0AB38	lpoB
P0AB40	bhsA
P0AB43	ycgL
P0AB46	ymgD
P0AB49	ychH
P0AB52	ychN
P0AB55	yciI
P0AB58	LapB
P0AB61	yciN
P0AB65	yccX
P0AB67	pntB
P0AB74	kbaY
P0AB77	kbl
P0AB80	ilvE
P0AB83	nth
P0AB85	apbE
P0AB87	fucA
P0AB91	aroG
P0AB93	arsB
P0AB96	arsC
P0AB98	atpB
P0ABA0	atpF
P0ABA4	atpH
P0ABA6	atpG
P0ABB0	atpA
P0ABB4	atpD
P0ABB8	mgtA
P0ABC0	atpI
P0ABC3	hflC
P0ABC7	hflK
P0ABC9	betT
P0ABD1	yeaV
P0ABD3	bfr
P0ABE2	bolA
P0ABE5	cybB
P0ABE9	cynT
P0ABF1	pcnB
P0ABF4	eutM
P0ABF6	cdd
P0ABH7	gltA
P0ABH9	clpA
P0ABI4	corA
P0ABI8	cyoB
P0ABJ1	cyoA
P0ABJ3	cyoC
P0ABJ6	cyoD
P0ABK5	cysK
P0ABK7	csgB
P0ABK9	nrfA
P0ABL1	nrfB
P0ABL3	napB
P0ABL5	napC
P0ABL8	ccmB
P0ABM1	ccmC
P0ABM5	ccmD
P0ABM9	ccmH
P0ABN1	dgkA
P0ABN5	dcuA
P0ABN9	dcuB
P0ABP3	dcuC
P0ABP6	dedA
P0ABP8	deoD
P0ABQ2	garR
P0ABR1	dinI
P0ABR5	hcaE
P0ABR7	yeaW
P0ABR9	mhpB
P0ABS1	dksA
P0ABS8	holE
P0ABT2	dps
P0ABT5	dusB
P0ABT8	yijE
P0ABU0	menB
P0ABU2	ychF
P0ABU5	elbB
P0ABU7	exbB
P0ABU9	tolQ
P0ABV2	exbD
P0ABV6	tolR
P0ABW0	hcaC
P0ABW3	yfaE
P0ABW5	sfmA
P0ABW9	flgB
P0ABX2	flgC
P0ABX5	flgG
P0ABX8	fliL
P0ABY2	fliT
P0ABY4	fldB
P0ABY7	flhC
P0ABZ1	fliG
P0ABZ4	kdsC
P0ABZ6	surA
P0AC00	frlB
P0AC05	fliP
P0AC07	fliQ
P0AC19	folX
P0AC23	focA
P0AC26	nirC
P0AC28	ygfA
P0AC30	ftsX
P0AC33	fumA
P0AC35	ttdB
P0AC38	aspA
P0AC41	sdhA
P0AC44	sdhD
P0AC47	frdB
P0AC51	zur
P0AC53	zwf
P0AC55	glnK
P0AC59	grxB
P0AC62	grxC
P0AC65	nrdH
P0AC69	grxD
P0AC73	ebgC
P0AC78	wecA
P0AC81	gloA
P0AC84	gloB
P0AC86	glgP
P0AC88	gmd
P0AC92	gnsA
P0AC94	gntP
P0AC96	gntU
P0AC98	satP
P0ACA1	yibF
P0ACA3	sspA
P0ACA7	gstB
P0ACB7	hemY
P0ACC9	wcaB
P0ACD2	wcaF
P0ACD8	hyaB
P0ACE0	hybC
P0ACE3	hha
P0ACE7	hinT
P0ACF0	hupA
P0ACF4	hupB
P0ACF8	hns
P0ACG1	stpA
P0ACG4	hokC
P0ACG6	hokD
P0ACG8	hslR
P0ACH1	sfsB
P0ACH5	marA
P0ACH8	melR
P0ACI0	rob
P0ACI3	xylR
P0ACI6	asnC
P0ACJ0	lrp
P0ACJ5	decR
P0ACJ8	crp
P0ACK2	agaR
P0ACK5	deoR
P0ACK8	fucR
P0ACL0	glpR
P0ACL2	exuR
P0ACL5	glcC
P0ACL7	lldR
P0ACL9	pdhR
P0ACM2	rspR
P0ACM5	yegW
P0ACM9	yihL
P0ACN2	ytfH
P0ACN4	allR
P0ACN7	cytR
P0ACP1	cra
P0ACP5	gntR
P0ACP7	purR
P0ACQ0	rbsR
P0ACQ4	oxyR
P0ACQ7	tdcA
P0ACR0	allS
P0ACR2	ydhB
P0ACR4	yeiE
P0ACR7	yfeR
P0ACR9	mprA
P0ACS2	soxR
P0ACS5	zntR
P0ACS7	rpiR
P0ACS9	acrR
P0ACT2	envR
P0ACT6	uidR
P0ACU0	cecR
P0ACU2	rutR
P0ACU5	fabR
P0ACU7	yjdC
P0ACV2	lpxP
P0ACV6	mpaA
P0ACV8	ymjA
P0ACW0	ydaF
P0ACW2	ydbJ
P0ACW4	ydcA
P0ACW6	ydcH
P0ACW8	ydfA
P0ACX0	ydgC
P0ACX3	ydhR
P0ACX5	fumD
P0ACX9	ydiE
P0ACY1	ydjA
P0ACY3	yeaG
P0ACY6	yeaL
P0ACY9	yebG
P0ACZ2	etp
P0ACZ4	evgA
P0ACZ8	cusR
P0AD01	dcuR
P0AD03	yebS
P0AD05	yecA
P0AD07	yecF
P0AD10	yecJ
P0AD12	yeeZ
P0AD14	btsS
P0AD17	yohC
P0AD19	yohK
P0AD21	yejG
P0AD24	yejL
P0AD27	yejM
P0AD30	yfcA
P0AD33	yfcZ
P0AD35	yfdO
P0AD37	yfeC
P0AD40	ypeB
P0AD42	pgpC
P0AD44	yfhG
P0AD47	yphA
P0AD49	raiA
P0AD53	ygaC
P0AD59	ivy
P0AD61	pykF
P0AD70	ampH
P0AD72	pheL
P0AD79	leuL
P0AD83	pyrL
P0AD86	thrL
P0AD89	tnaC
P0AD96	livJ
P0AD99	brnQ
P0ADA1	tesA
P0ADA3	nlpD
P0ADA5	yajG
P0ADA7	osmB
P0ADB1	osmE
P0ADB4	ecnA
P0ADB7	ecnB
P0ADC8	yjiX
P0ADD2	yjjB
P0ADD5	yjjP
P0ADD7	yjjQ
P0ADD9	yjjY
P0ADE2	ytfK
P0ADE4	tamA
P0ADE6	ygaU
P0ADF0	fruL
P0ADF3	rhoL
P0ADF6	edd
P0ADF8	ilvN
P0ADG1	ilvM
P0ADG7	guaB
P0ADH5	fimB
P0ADH7	fimE
P0ADI0	pinR
P0ADI4	entB
P0ADI7	yecD
P0ADI9	yhhN
P0ADJ3	yhjR
P0ADJ5	bcsF
P0ADJ8	yiaA
P0ADK0	yiaF
P0ADK4	yiaW
P0ADK6	yibA
P0ADK8	yibL
P0ADL1	nepI
P0ADL3	yicN
P0ADL6	yidG
P0ADM0	yidH
P0ADM4	yidQ
P0ADM6	yidX
P0ADM8	yieE
P0ADN0	viaA
P0ADN2	yifE
P0ADN6	yifL
P0ADP0	yigB
P0ADP2	yigI
P0ADP5	yigM
P0ADP7	ubiJ
P0ADP9	yihD
P0ADQ2	yiiD
P0ADQ5	yiiE
P0ADQ7	ygaM
P0ADR0	yqaA
P0ADR2	ygdD
P0ADR6	rlmM
P0ADR8	ppnN
P0ADS2	zapA
P0ADS6	yggE
P0ADS9	yggN
P0ADT2	ygiB
P0ADT5	ygiC
P0ADT8	ygiM
P0ADU2	ygiN
P0ADU5	ygiW
P0ADU7	yqiB
P0ADV5	yhbW
