sample	imipenem	induced	replicate
ECL1	0	FALSE	A
ECL2	0	FALSE	B
ECL3	0	TRUE	A
ECL4	0	TRUE	B
ECL5	0.5	FALSE	A
ECL6	0.5	FALSE	B
ECL7	0.5	TRUE	A
ECL8	0.5	TRUE	B
ECL9	1	FALSE	A
ECL10	1	FALSE	B
ECL11	1	TRUE	A
ECL12	1	TRUE	B
